Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
0.0000,0.0000,48.4700,24.6200,247.4926,0.2000,0.6831,0.6992,1.1940,16.0255,23.0855,11.2872,19.5953,53.0355,47.0753,55.1962,63.9090,51.8182,49.4775,63.3641
0.3090,0.0000,48.4700,24.6200,243.8282,0.1998,0.6649,0.6976,1.1514,15.2863,22.4605,10.3764,18.5686,53.0355,48.4789,52.8143,62.4980,50.3466,49.7900,63.3641
0.6180,0.0000,48.4700,24.6200,243.0668,0.2000,0.6481,0.6863,1.1133,14.3923,20.8138,9.8742,17.7525,43.7627,47.3693,55.5168,57.9038,51.5393,50.0533,65.8253
0.9280,0.0000,48.4700,24.6200,242.3030,0.2000,0.6318,0.6757,1.0795,14.0074,19.5772,9.3127,16.6801,53.0355,46.8330,51.5578,63.9090,52.4422,49.2201,62.4461
1.2370,0.0000,48.4702,24.6206,241.5632,0.2000,0.6178,0.6659,1.0480,13.1437,18.6348,8.7301,15.6956,59.7614,46.3085,54.5033,57.5565,51.5393,49.4775,64.8363
1.5470,0.0000,48.4733,24.6330,241.2188,0.1995,0.6039,0.6568,1.0198,12.7747,17.7043,8.1994,14.7045,53.3555,45.5201,51.5578,62.9890,49.4614,48.6628,62.4461
1.8560,0.0000,48.4763,24.6454,240.8755,0.2000,0.5916,0.6481,0.9915,11.8937,16.6426,7.7692,13.8468,58.4235,45.7953,53.8273,57.9038,51.5393,49.2201,64.8363
2.1660,0.0000,48.4794,24.6578,240.5311,0.2000,0.1396,0.2140,0.1754,0.4384,0.3879,0.2905,0.2678,3.1867,0.7689,0.9484,0.3151,0.2453,0.2055,0.1775
2.4740,0.0000,48.4800,24.6600,240.6843,0.8674,0.0623,0.1556,0.1123,0.1218,0.1293,0.1479,0.1284,0.1470,0.1154,0.1501,0.1288,0.1318,0.1189,0.1186
2.7840,0.0000,48.4800,24.6600,240.9469,0.8893,0.0684,0.1489,0.1078,0.1065,0.1140,0.1349,0.1208,0.1180,0.1036,0.1281,0.1184,0.1219,0.1122,0.1134
3.0930,0.0000,48.4800,24.6600,241.2086,0.8944,0.0744,0.1446,0.1084,0.1032,0.1120,0.1305,0.1209,0.1140,0.1017,0.1248,0.1161,0.1199,0.1113,0.1124
3.4020,0.0000,48.4800,24.6600,241.3002,0.8970,0.0786,0.1429,0.1110,0.1026,0.1131,0.1288,0.1224,0.1129,0.1012,0.1242,0.1150,0.1189,0.1111,0.1119
3.7120,0.0000,48.4800,24.6600,241.2713,0.8980,0.0821,0.1430,0.1138,0.1033,0.1151,0.1285,0.1244,0.1125,0.1009,0.1241,0.1146,0.1185,0.1111,0.1118
4.0210,0.0000,48.4800,24.6600,241.2426,0.8980,0.0844,0.1439,0.1167,0.1043,0.1170,0.1289,0.1266,0.1126,0.1009,0.1239,0.1140,0.1183,0.1111,0.1116
4.3300,0.0000,48.4800,24.6600,241.1409,0.8980,0.0866,0.1453,0.1194,0.1054,0.1191,0.1294,0.1285,0.1125,0.1007,0.1238,0.1136,0.1181,0.1113,0.1115
4.6400,0.0000,48.4800,24.6600,240.9047,0.8984,0.0884,0.1469,0.1219,0.1064,0.1208,0.1304,0.1305,0.1125,0.1005,0.1238,0.1135,0.1178,0.1113,0.1114
4.9470,0.0000,48.4800,24.6600,240.6708,0.8985,0.0900,0.1485,0.1239,0.1075,0.1225,0.1312,0.1321,0.1124,0.1005,0.1237,0.1132,0.1178,0.1113,0.1112
5.2570,0.0000,48.4800,24.6600,240.4718,0.8990,0.0914,0.1498,0.1257,0.1084,0.1242,0.1320,0.1335,0.1123,0.1005,0.1238,0.1131,0.1177,0.1113,0.1112
5.5660,0.0000,48.4800,24.6600,240.5557,0.8990,0.0927,0.1513,0.1275,0.1093,0.1254,0.1326,0.1348,0.1125,0.1004,0.1237,0.1128,0.1177,0.1111,0.1114
5.8770,0.0000,48.4800,24.6600,240.6403,0.8990,0.0939,0.1523,0.1290,0.1103,0.1268,0.1334,0.1361,0.1124,0.1003,0.1235,0.1125,0.1173,0.1111,0.1111
6.1870,0.0000,48.4800,24.6600,240.7245,0.8990,0.0950,0.1536,0.1304,0.1109,0.1278,0.1340,0.1371,0.1123,0.1003,0.1234,0.1125,0.1173,0.1111,0.1111
6.4960,0.0000,48.4773,24.6490,240.7124,0.8990,0.0959,0.1545,0.1316,0.1115,0.1290,0.1347,0.1379,0.1121,0.1003,0.1234,0.1123,0.1171,0.1111,0.1111
6.8040,0.0000,48.4742,24.6367,240.6885,0.8990,0.0967,0.1553,0.1328,0.1121,0.1298,0.1352,0.1387,0.1121,0.1001,0.1234,0.1121,0.1171,0.1111,0.1110
7.1100,0.0000,48.4711,24.6245,240.6647,0.8990,0.0441,0.1045,0.1585,0.1268,0.2074,0.2441,0.3742,0.0561,0.0600,0.1048,0.1783,0.4014,0.7079,0.8137
7.4200,0.0000,48.4700,24.6200,240.5994,0.2150,0.5871,1.6582,2.5531,1.9224,2.7930,3.3004,4.4139,4.7909,4.7142,6.0814,10.5001,14.5908,17.1844,22.0338
7.7290,0.0000,48.4700,24.6200,240.5114,0.2098,4.8656,11.6436,17.5911,12.4205,17.2512,19.3382,24.4366,44.2479,36.6026,42.8541,54.2965,56.9212,53.8044,62.4461
8.0380,0.0000,48.4700,24.6200,240.4234,0.2057,20.7507,39.5577,53.8273,34.9216,54.0448,51.1251,57.2667,68.2983,63.7388,74.5825,76.7065,74.2698,67.2546,74.2528
8.3470,0.0000,48.4700,24.6200,240.3293,0.2035,49.2563,67.5047,77.8317,50.4242,75.4675,78.4368,85.2249,89.3217,67.2807,75.8734,74.1205,81.9217,71.6896,79.0547
8.6570,0.0000,48.4700,24.6200,240.2261,0.2020,67.5047,82.0040,89.8357,57.4061,92.0772,87.4393,86.9124,71.9353,75.7953,80.6932,81.7570,75.5435,69.4023,76.8882
8.9670,0.0000,48.4700,24.6200,240.1229,0.2010,82.0040,85.1632,88.8467,57.4061,84.9922,84.8448,92.3957,85.5689,68.3795,73.8965,72.3453,78.2247,72.2303,79.0547
9.2740,0.0000,48.4700,24.6200,240.0297,0.2010,82.0040,85.9150,85.3974,58.8009,88.3945,83.9107,86.9124,78.2372,71.3431,69.2228,78.0675,74.2698,71.0511,77.6394
9.5810,0.0000,48.4700,24.6200,239.9799,0.2010,76.3332,82.0040,73.8965,54.8767,87.4402,81.5165,79.0768,70.1254,70.1491,77.2091,79.4770,69.5724,67.2546,74.2528
9.8910,0.0000,48.4700,24.6200,239.9296,0.2000,73.7788,76.9383,76.4748,51.1162,76.1799,75.5789,79.8631,84.7592,68.9939,69.2228,71.1727,71.8454,68.8032,76.8882
10.2000,0.0000,48.4700,24.6200,239.8794,0.2000,65.4927,72.5638,70.9577,49.7504,70.6198,69.2602,71.9810,68.2983,71.8992,72.1267,78.8302,66.9695,68.8032,75.5478
10.5090,0.0000,48.4700,24.6200,239.9569,0.2000,63.1793,66.4837,71.4844,48.4545,65.8970,65.3771,67.5280,74.5800,67.8757,72.1267,73.5565,66.4169,67.7311,76.2732
10.8150,0.0000,48.4700,24.6200,240.0429,0.2000,53.1344,63.1793,62.7987,44.6417,62.1572,60.5782,61.7820,70.6812,58.7630,70.9577,72.3453,63.5316,67.7311,74.9537
11.1250,0.0000,48.4700,24.6200,240.1300,0.2000,50.3972,59.2946,60.5772,42.3673,60.8219,60.5782,61.3071,80.4907,67.8757,70.3356,68.9366,64.9864,68.3118,75.5478
11.4330,0.0000,48.3619,24.6200,240.1417,0.2000,46.8426,55.8533,59.7462,42.5889,60.4399,57.2118,59.1825,72.6381,73.1532,70.3356,76.7065,60.0479,65.2340,72.4454
11.7420,0.0000,48.2043,24.6200,240.1195,0.2000,44.6921,53.1344,55.9066,39.8350,56.1324,54.1947,55.4047,69.4696,68.9939,70.9577,68.3506,60.5007,67.7311,77.6394
12.0490,0.0000,48.0477,24.6200,240.0974,0.2000,42.6882,49.8203,53.8273,39.6406,55.0376,53.4887,56.5207,74.5800,68.3795,67.6646,68.9366,61.3484,66.2291,73.6785
12.3580,0.0000,47.9600,24.6200,240.0814,0.2000,39.1977,47.6368,54.1325,40.2695,57.2027,52.4326,53.3574,70.1254,68.9939,70.3356,77.4430,59.2350,64.2680,73.6785
12.6680,0.0000,47.9600,24.6200,240.0734,0.2000,38.4965,43.5478,51.2803,38.8066,53.3824,52.4326,55.7936,78.2372,66.7926,66.6330,67.8697,63.1158,64.2680,74.9537
12.9770,0.0000,47.9600,24.6200,240.0653,0.2000,35.1959,39.9243,49.5202,39.4097,53.6815,53.1112,53.0601,70.6812,68.3795,65.0981,74.1205,60.0479,63.3297,73.0008
